wavenumber,P88812Cl,P88812NO3,NaNO3
1859,85.73,91.42,109.89
1858,85.72,91.4,109.84
1857,85.72,91.41,109.89
1856,85.72,91.36,109.83
1855,85.77,91.43,109.92
1854,85.79,91.47,109.88
1853,85.77,91.45,109.86
1852,85.76,91.48,109.89
1851,85.75,91.42,109.87
1850,85.77,91.43,109.91
1849,85.75,91.45,109.91
1848,85.76,91.44,109.93
1847,85.76,91.44,109.87
1846,85.8,91.41,109.82
1845,85.8,91.45,109.81
1844,85.69,91.43,109.98
1843,85.81,91.48,109.78
1842,85.79,91.47,109.9
1841,85.77,91.46,109.94
1840,85.76,91.46,109.94
1839,85.79,91.45,109.92
1838,85.75,91.46,109.98
1837,85.81,91.47,109.95
1836,85.81,91.45,109.9
1835,85.81,91.46,109.97
1834,85.75,91.43,109.98
1833,85.81,91.5,109.94
1832,85.81,91.49,109.92
1831,85.83,91.43,109.92
1830,85.75,91.45,109.91
1829,85.78,91.5,109.85
1828,85.78,91.48,109.95
1827,85.79,91.46,109.96
1826,85.91,91.52,109.97
1825,85.76,91.49,109.93
1824,85.78,91.46,109.91
1823,85.79,91.48,110
1822,85.81,91.5,110.02
1821,85.84,91.46,110.02
1820,85.85,91.49,110.04
1819,85.84,91.51,110
1818,85.8,91.51,110.03
1817,85.81,91.5,109.99
1816,85.85,91.53,110.05
1815,85.8,91.47,110.08
1814,85.81,91.49,110.1
1813,85.86,91.51,110.05
1812,85.85,91.47,110.03
1811,85.84,91.51,110.06
1810,85.79,91.48,110.03
1809,85.83,91.47,110.08
1808,85.8,91.48,110.11
1807,85.82,91.5,110.07
1806,85.83,91.49,110.06
1805,85.81,91.46,110.1
1804,85.8,91.46,110.08
1803,85.85,91.52,110.08
1802,85.85,91.5,110.07
1801,85.86,91.5,110.02
1800,85.83,91.53,110.01
1799,85.81,91.5,110.05
1798,85.81,91.48,110.06
1797,85.85,91.49,110.02
1796,85.85,91.49,109.95
1795,85.85,91.46,109.85
1794,85.88,91.49,109.71
1793,85.78,91.55,109.41
1792,85.87,91.51,109.04
1791,85.82,91.47,108.42
1790,85.83,91.47,107.72
1789,85.84,91.54,107.47
1788,85.88,91.54,107.93
1787,85.84,91.48,108.58
1786,85.87,91.5,109
1785,85.83,91.5,109.38
1784,85.85,91.49,109.56
1783,85.85,91.49,109.75
1782,85.87,91.5,109.89
1781,85.88,91.56,109.91
1780,85.84,91.52,109.91
1779,85.83,91.52,110.04
1778,85.89,91.52,110.07
1777,85.86,91.5,110.09
1776,85.86,91.52,110.11
1775,85.84,91.5,110.06
1774,85.89,91.49,110.07
1773,85.82,91.55,110.06
1772,85.93,91.54,109.97
1771,85.82,91.51,110.04
1770,85.87,91.48,110.09
1769,85.83,91.44,110.15
1768,85.82,91.48,110.17
1767,85.86,91.49,110.09
1766,85.85,91.46,110.21
1765,85.83,91.45,110.23
1764,85.82,91.46,110.22
1763,85.89,91.44,110.21
1762,85.85,91.51,110.11
1761,85.83,91.46,110.1
1760,85.82,91.43,110.18
1759,85.78,91.45,110.23
1758,85.79,91.43,110.22
1757,85.8,91.43,110.23
1756,85.78,91.4,110.16
1755,85.76,91.38,110.23
1754,85.74,91.35,110.28
1753,85.79,91.34,110.26
1752,85.81,91.34,110.26
1751,85.73,91.33,110.2
1750,85.81,91.28,110.16
1749,85.67,91.26,110.19
1748,85.73,91.19,110.19
1747,85.71,91.1,110.21
1746,85.73,91.06,110.25
1745,85.71,91,110.29
1744,85.68,90.92,110.34
1743,85.71,90.86,110.28
1742,85.67,90.79,110.26
1741,85.68,90.76,110.26
1740,85.69,90.89,110.23
1739,85.62,90.85,110.23
1738,85.63,90.86,110.31
1737,85.68,90.98,110.33
1736,85.66,90.99,110.32
1735,85.62,91.1,110.25
1734,85.59,91.13,110.08
1733,85.6,91.12,110.24
1732,85.63,91.16,110.28
1731,85.6,91.15,110.43
1730,85.54,91.2,110.32
1729,85.53,91.19,110.3
1728,85.53,91.17,110.44
1727,85.54,91.18,110.45
1726,85.52,91.19,110.41
1725,85.48,91.19,110.46
1724,85.44,91.18,110.47
1723,85.41,91.16,110.46
1722,85.46,91.11,110.49
1721,85.41,91.1,110.48
1720,85.39,91.08,110.46
1719,85.41,91.11,110.41
1718,85.4,91.09,110.17
1717,85.38,90.98,110.45
1716,85.44,90.95,110.3
1715,85.32,90.96,110.48
1714,85.4,90.96,110.41
1713,85.39,90.95,110.52
1712,85.4,90.95,110.56
1711,85.44,90.95,110.62
1710,85.39,90.97,110.61
1709,85.45,90.99,110.57
1708,85.46,91.01,110.64
1707,85.47,91.09,110.57
1706,85.49,91.06,110.52
1705,85.48,91.08,110.49
1704,85.48,91.11,110.56
1703,85.53,91.11,110.6
1702,85.56,91.1,110.61
1701,85.66,91.5,111.02
1700,85.53,91.12,110.35
1699,85.49,91.09,110.44
1698,85.5,91.09,110.65
1697,85.56,91.1,110.56
1696,85.43,91.06,110.61
1695,85.47,91.06,110.56
1694,85.49,91.02,110.68
1693,85.49,91.04,110.78
1692,85.51,91.05,110.83
1691,85.49,91.04,110.83
1690,85.49,91.05,110.77
1689,85.5,91.02,110.84
1688,85.47,91.04,110.78
1687,85.5,90.99,110.83
1686,85.51,90.98,110.81
1685,85.52,91.01,111.01
1684,85.5,91.03,110.39
1683,85.47,90.99,110.62
1682,85.43,90.96,110.76
1681,85.44,91.01,110.89
1680,85.38,90.99,110.88
1679,85.42,90.97,110.86
1678,85.39,90.95,110.95
1677,85.39,90.94,110.98
1676,85.35,90.91,110.98
1675,85.33,90.92,110.94
1674,85.36,90.91,110.87
1673,85.34,90.91,110.98
1672,85.34,90.91,111.01
1671,85.31,90.92,110.91
1670,85.33,90.85,111
1669,85.33,90.93,110.98
1668,85.34,90.89,110.89
1667,85.33,90.88,111.03
1666,85.3,90.87,111.09
1665,85.34,90.88,111.09
1664,85.38,90.85,111.05
1663,85.33,90.83,111.02
1662,85.34,90.86,110.98
1661,85.3,90.79,111.05
1660,85.32,90.78,111.1
1659,85.31,90.79,111.14
1658,85.32,90.78,111.12
1657,85.35,90.77,111.11
1656,85.33,90.75,111.11
1655,85.36,90.71,111.14
1654,85.35,90.84,110.8
1653,85.4,90.86,110.78
1652,85.28,90.69,110.94
1651,85.28,90.67,110.96
1650,85.3,90.64,111.1
1649,85.31,90.63,111.16
1648,85.33,90.68,111.07
1647,85.29,90.61,110.88
1646,85.2,90.57,110.98
1645,85.22,90.56,111.01
1644,85.21,90.53,111.14
1643,85.22,90.52,111.18
1642,85.21,90.52,111.22
1641,85.18,90.48,111.22
1640,85.16,90.46,111.19
1639,85.15,90.44,111.22
1638,85.19,90.43,111.23
1637,85.14,90.43,111.06
1636,85.08,90.32,111.19
1635,85.04,90.48,111.01
1634,85.03,90.4,111.05
1633,85,90.38,111.23
1632,84.96,90.37,111.24
1631,84.94,90.41,111.23
1630,84.89,90.4,111.26
1629,84.88,90.38,111.28
1628,84.85,90.41,111.24
1627,84.83,90.46,111.17
1626,84.81,90.47,111.25
1625,84.78,90.43,111.26
1624,84.76,90.46,111.2
1623,84.78,90.54,111.15
1622,84.75,90.48,111.14
1621,84.81,90.54,111.25
1620,84.82,90.55,111.27
1619,84.92,90.6,111.28
1618,84.99,90.62,111.21
1617,85,90.62,111.13
1616,85.04,90.68,111.14
1615,85.13,90.69,111.17
1614,85.15,90.71,111.28
1613,85.19,90.73,111.28
1612,85.24,90.78,111.27
1611,85.3,90.79,111.27
1610,85.29,90.82,111.27
1609,85.35,90.83,111.19
1608,85.38,90.83,111.25
1607,85.4,90.87,111.25
1606,85.39,90.87,111.23
1605,85.43,90.89,111.23
1604,85.48,90.94,111.3
1603,85.5,90.95,111.22
1602,85.52,90.96,111.24
1601,85.52,90.96,111.2
1600,85.57,91.01,111.22
1599,85.54,90.97,111.2
1598,85.57,91.01,111.23
1597,85.54,91,111.26
1596,85.59,91.03,111.23
1595,85.63,91.04,111.21
1594,85.66,91.09,111.22
1593,85.65,91.08,111.25
1592,85.64,91.04,111.23
1591,85.72,91.09,111.24
1590,85.69,91.09,111.23
1589,85.66,91.11,111.21
1588,85.69,91.08,111.22
1587,85.71,91.1,111.24
1586,85.72,91.11,111.25
1585,85.71,91.11,111.22
1584,85.71,91.08,111.27
1583,85.77,91.1,111.26
1582,85.78,91.09,111.27
1581,85.77,91.09,111.3
1580,85.82,91.17,111.26
1579,85.83,91.11,111.27
1578,85.86,91.09,111.24
1577,85.81,91.11,111.18
1576,85.84,91.15,111.29
1575,85.83,91.17,111.04
1574,85.84,91.17,111.21
1573,85.89,91.2,111.27
1572,85.85,91.21,111.23
1571,85.86,91.18,111.19
1570,85.78,91.11,111.22
1569,85.92,91.33,111.05
1568,85.9,91.28,111.11
1567,85.86,91.26,111.22
1566,85.84,91.23,111.22
1565,85.9,91.31,111.21
1564,85.94,91.34,111.11
1563,85.94,91.35,111.22
1562,85.91,91.33,111.21
1561,85.88,91.34,111.07
1560,85.98,91.36,111.07
1559,86.05,91.27,110.52
1558,85.95,91.39,110.61
1557,85.98,91.43,110.96
1556,85.98,91.4,111.09
1555,85.89,91.36,111.14
1554,86,91.45,111.13
1553,85.98,91.42,111.11
1552,85.96,91.46,111.23
1551,85.96,91.45,111.23
1550,86,91.49,111.15
1549,85.99,91.5,111.1
1548,85.99,91.48,111.23
1547,86.01,91.46,111.24
1546,85.96,91.46,111.19
1545,86.03,91.56,111.1
1544,86.04,91.51,111.05
1543,86.05,91.54,110.98
1542,86.1,91.55,111.05
1541,85.98,91.47,110.85
1540,86.01,91.43,110.92
1539,86.2,91.53,110.93
1538,86.09,91.62,110.99
1537,86.02,91.57,111.16
1536,86.08,91.62,111.2
1535,86.08,91.63,111.11
1534,86.1,91.58,111.1
1533,86.14,91.73,110.96
1532,86.1,91.66,111.1
1531,86.06,91.67,111.13
1530,86.09,91.67,111.2
1529,86.12,91.67,111.22
1528,86.12,91.73,111.09
1527,86.12,91.73,111.06
1526,86.11,91.71,111.08
1525,86.16,91.78,111.07
1524,86.13,91.7,111.05
1523,86.13,91.71,111.09
1522,86.09,91.75,110.8
1521,86.12,91.72,110.95
1520,86.2,91.82,110.92
1519,86.18,91.76,111.04
1518,86.13,91.72,111.15
1517,86.15,91.89,110.94
1516,86.16,91.81,110.94
1515,86.17,91.78,111.07
1514,86.16,91.77,111.09
1513,86.14,91.73,111.1
1512,86.17,91.83,111.04
1511,86.16,91.77,111.06
1510,86.18,91.81,111.06
1509,86.22,91.83,110.93
1508,86.19,91.84,110.81
1507,86.19,91.79,110.75
1506,86.17,91.81,110.47
1505,86.22,91.85,110.93
1504,86.18,91.83,111.02
1503,86.14,91.76,111.07
1502,86.17,91.8,111.05
1501,86.2,91.81,111.02
1500,86.17,91.76,111.01
1499,86.2,91.81,110.96
1498,86.21,91.83,110.9
1497,86.1,91.76,110.95
1496,86.19,91.81,110.97
1495,86.21,91.82,110.85
1494,86.17,91.81,111.01
1493,86.17,91.8,110.98
1492,86.16,91.79,110.94
1491,86.12,91.73,110.85
1490,86.2,91.81,110.71
1489,86.22,91.81,110.74
1488,86.14,91.71,110.81
1487,86.09,91.7,110.82
1486,86.1,91.67,110.85
1485,86.08,91.64,110.91
1484,86.05,91.57,110.91
1483,85.98,91.48,110.92
1482,85.94,91.41,110.96
1481,85.92,91.37,110.88
1480,85.84,91.2,110.89
1479,85.77,91.08,110.93
1478,85.63,90.9,110.92
1477,85.42,90.64,110.95
1476,85.26,90.43,110.78
1475,84.86,89.92,110.8
1474,84.4,89.32,110.82
1473,83.58,88.42,110.6
1472,82.12,86.75,110.61
1471,80.43,84.91,110.66
1470,78.51,82.76,110.73
1469,76.75,80.92,110.68
1468,75.58,79.68,110.56
1467,75.08,79.1,110.41
1466,74.99,79.02,110.19
1465,75.32,79.15,109.74
1464,75.14,79.09,109.39
1463,75.24,79.22,109.23
1462,75.26,79.19,108.95
1461,75.33,79.23,108.66
1460,75.36,79.27,108.42
1459,75.32,79.24,108.06
1458,75.15,79.07,107.64
1457,75.59,79.43,107.26
1456,75.33,79.31,107.23
1455,75.97,79.93,107.2
1454,76.53,80.6,107.11
1453,77.03,81.15,106.98
1452,77.64,81.75,106.79
1451,78.07,82.19,106.6
1450,78.45,82.61,106.48
1449,78.75,82.93,106.33
1448,79.16,83.31,106.24
1447,79.29,83.48,106.28
1446,79.54,83.75,106.47
1445,79.76,83.98,106.57
1444,79.92,84.15,106.47
1443,80.12,84.38,106.37
1442,80.32,84.57,106.27
1441,80.53,84.78,106.14
1440,80.74,84.97,106.05
1439,80.95,85.14,105.95
1438,81.12,85.31,105.81
1437,81.57,85.67,105.52
1436,81.69,85.77,105.51
1435,81.94,85.94,105.58
1434,82.17,86.15,105.54
1433,82.46,86.39,105.46
1432,82.68,86.46,105.41
1431,82.84,86.54,105.33
1430,83.09,86.64,105.25
1429,83.21,86.59,105.17
1428,83.27,86.51,105.18
1427,83.31,86.33,105.1
1426,83.38,86.13,105.06
1425,83.37,85.89,104.99
1424,83.4,85.63,104.89
1423,83.27,85.26,104.81
1422,83.18,84.92,104.8
1421,83.1,84.59,104.74
1420,83.1,84.5,104.54
1419,82.95,83.94,104.43
1418,82.83,83.77,104.44
1417,82.74,83.57,104.43
1416,82.76,83.46,104.41
1415,82.75,83.35,104.36
1414,82.73,83.31,104.32
1413,82.72,83.24,104.26
1412,82.77,83.27,104.21
1411,82.81,83.27,104.12
1410,82.87,83.36,104.04
1409,82.92,83.46,104
1408,82.97,83.62,103.9
1407,83.03,83.78,103.82
1406,83.12,83.95,103.77
1405,83.22,84.15,103.59
1404,83.24,84.3,103.59
1403,83.34,84.49,103.55
1402,83.41,84.62,103.48
1401,83.49,84.71,103.39
1400,83.51,84.83,103.26
1399,83.66,84.94,103.06
1398,83.69,84.95,102.97
1397,83.75,85,102.89
1396,83.84,85.02,102.81
1395,83.91,84.99,102.59
1394,83.99,84.89,102.54
1393,84,84.74,102.49
1392,84.09,84.64,102.39
1391,84.15,84.47,102.29
1390,84.18,84.2,102.17
1389,84.23,83.95,102.04
1388,84.21,83.66,101.88
1387,84.28,83.2,101.74
1386,84.19,82.73,101.65
1385,84.09,82.21,101.56
1384,83.93,81.61,101.46
1383,83.63,80.83,101.35
1382,83.22,80,101.24
1381,82.62,79.01,101.11
1380,82.01,78.04,101
1379,81.46,77.15,100.83
1378,81.3,76.58,100.74
1377,81.46,76.19,100.62
1376,81.81,75.98,100.49
1375,82.33,75.85,100.33
1374,82.75,75.65,100.18
1373,82.99,75.27,100.04
1372,83.15,74.96,99.95
1371,83.33,74.64,99.82
1370,83.45,74.24,99.64
1369,83.52,73.81,99.5
1368,83.63,73.28,99.26
1367,83.71,72.76,99.13
1366,83.79,72.22,98.91
1365,83.92,71.7,98.75
1364,83.99,71.29,98.46
1363,84.09,70.5,98.23
1362,84.13,69.94,98.06
1361,84.24,69.36,97.87
1360,84.22,68.74,97.67
1359,84.24,68.21,97.44
1358,84.27,67.65,97.15
1357,84.25,67.11,96.84
1356,84.26,66.65,96.56
1355,84.25,66.18,96.19
1354,84.21,65.68,95.81
1353,84.18,65.29,95.43
1352,84.21,64.92,95.11
1351,84.25,64.56,94.86
1350,84.28,64.23,94.68
1349,84.32,63.93,94.56
1348,84.39,63.62,94.42
1347,84.47,63.34,94.31
1346,84.54,63.04,94.23
1345,84.54,62.73,94.19
1344,84.53,62.43,94.15
1343,84.5,62.11,94.08
1342,84.52,61.81,94.07
1341,84.57,61.61,93.98
1340,84.67,61.26,94.03
1339,84.78,61.1,94.03
1338,84.91,60.91,94.06
1337,84.98,60.95,94.08
1336,85.08,60.9,94.16
1335,85.14,61.08,94.2
1334,85.15,61.28,94.19
1333,85.14,61.58,94.21
1332,85.16,62.01,94.24
1331,85.14,62.49,94.27
1330,85.13,63.01,94.24
1329,85.1,63.52,94.31
1328,85.09,64.04,94.36
1327,85.09,64.57,94.35
1326,85.07,65.08,94.38
1325,85.07,65.6,94.44
1324,85.08,66.14,94.46
1323,85.07,66.68,94.53
1322,85.08,67.24,94.56
1321,85.06,67.81,94.58
1320,85.06,68.32,94.63
1319,85.05,68.88,94.68
1318,85.03,69.36,94.77
1317,85,69.86,94.8
1316,85,70.35,94.86
1315,84.97,70.85,94.89
1314,84.96,71.33,94.95
1313,84.94,71.85,95
1312,84.96,72.32,95.03
1311,84.91,72.82,95.13
1310,84.94,73.32,95.2
1309,84.93,73.8,95.21
1308,84.92,74.28,95.27
1307,84.88,74.72,95.33
1306,84.89,75.17,95.38
1305,84.87,75.6,95.43
1304,84.83,76.02,95.5
1303,84.83,76.43,95.57
1302,84.85,76.86,95.6
1301,84.82,77.2,95.66
1300,84.83,77.58,95.68
1299,84.84,77.93,95.71
1298,84.85,78.27,95.81
1297,84.91,78.59,95.82
1296,84.93,78.91,95.86
1295,84.96,79.26,95.96
1294,85.01,79.6,96.01
1293,85.05,79.98,96.05
1292,85.1,80.32,96.06
1291,85.17,80.71,96.13
1290,85.21,81.07,96.17
1289,85.23,81.4,96.21
1288,85.27,81.69,96.22
1287,85.26,81.94,96.29
1286,85.24,82.15,96.36
1285,85.2,82.32,96.37
1284,85.18,82.48,96.43
1283,85.17,82.57,96.48
1282,85.15,82.67,96.53
1281,85.12,82.75,96.55
1280,85.06,82.81,96.57
1279,85.07,82.91,96.65
1278,85,82.92,96.67
1277,85.11,83.09,96.73
1276,85.06,83.16,96.76
1275,85.05,83.19,96.79
1274,85.14,83.37,96.87
1273,85.16,83.46,96.89
1272,85.17,83.51,96.93
1271,85.17,83.62,96.98
1270,85.19,83.69,96.99
1269,85.23,83.8,97.05
1268,85.21,83.93,97.04
1267,85.26,84.08,97.13
1266,85.32,84.28,97.17
1265,85.34,84.43,97.2
1264,85.39,84.6,97.23
1263,85.41,84.76,97.28
1262,85.47,84.99,97.32
1261,85.55,85.23,97.36
1260,85.61,85.49,97.4
1259,85.65,85.71,97.49
1258,85.71,85.93,97.5
1257,85.79,86.1,97.57
1256,85.78,86.28,97.65
1255,85.75,86.43,97.68
1254,85.7,86.49,97.71
1253,85.67,86.57,97.75
1252,85.62,86.59,97.8
1251,85.48,86.52,97.86
1250,85.38,86.51,97.91
1249,85.3,86.48,97.94
1248,85.24,86.42,97.95
1247,85.14,86.35,98.06
1246,85.11,86.35,98.08
1245,85.03,86.29,98.12
1244,85.03,86.32,98.17
1243,85.02,86.3,98.21
1242,85.05,86.34,98.27
1241,85.09,86.42,98.3
1240,85.09,86.45,98.33
1239,85.14,86.51,98.39
1238,85.17,86.58,98.43
1237,85.23,86.64,98.51
1236,85.25,86.71,98.52
1235,85.25,86.75,98.59
1234,85.27,86.79,98.6
1233,85.29,86.82,98.68
1232,85.35,86.88,98.71
1231,85.38,86.92,98.71
1230,85.35,86.96,98.77
1229,85.4,87,98.84
1228,85.42,87.04,98.9
1227,85.48,87.14,98.94
1226,85.51,87.18,98.97
1225,85.52,87.22,99.04
1224,85.59,87.27,99.09
1223,85.65,87.37,99.17
1222,85.72,87.48,99.17
1221,85.79,87.59,99.22
1220,85.84,87.63,99.29
1219,85.87,87.7,99.32
1218,85.89,87.8,99.36
1217,85.97,87.92,99.43
1216,86.05,88.05,99.52
1215,86.07,88.14,99.53
1214,86.06,88.23,99.54
1213,86.09,88.27,99.63
1212,86.09,88.31,99.69
1211,86.04,88.29,99.7
1210,86.01,88.27,99.77
1209,85.91,88.21,99.81
1208,85.87,88.21,99.86
1207,85.83,88.16,99.93
1206,85.79,88.08,99.96
1205,85.75,88.06,100.03
1204,85.7,88.03,100.04
1203,85.73,88.08,100.09
1202,85.74,88.07,100.14
1201,85.73,88.07,100.19
1200,85.76,88.14,100.23
1199,85.78,88.18,100.3
1198,85.85,88.24,100.32
1197,85.88,88.29,100.38
1196,85.87,88.3,100.44
1195,85.95,88.44,100.45
1194,85.99,88.55,100.51
1193,86.03,88.56,100.59
1192,86.07,88.65,100.6
1191,86.14,88.73,100.64
1190,86.19,88.82,100.72
1189,86.22,88.88,100.76
1188,86.26,88.98,100.8
1187,86.29,89.01,100.84
1186,86.35,89.09,100.92
1185,86.36,89.12,100.92
1184,86.41,89.18,100.97
1183,86.41,89.21,101
1182,86.45,89.27,101.04
1181,86.51,89.32,101.1
1180,86.56,89.36,101.13
1179,86.56,89.37,101.18
1178,86.55,89.38,101.23
1177,86.53,89.37,101.23
1176,86.59,89.36,101.31
1175,86.59,89.41,101.35
1174,86.57,89.41,101.39
1173,86.54,89.36,101.44
1172,86.49,89.33,101.53
1171,86.43,89.31,101.56
1170,86.51,89.33,101.61
1169,86.44,89.26,101.62
1168,86.5,89.35,101.7
1167,86.56,89.33,101.76
1166,86.59,89.38,101.81
1165,86.58,89.44,101.86
1164,86.58,89.4,101.9
1163,86.67,89.47,101.91
1162,86.71,89.49,102.03
1161,86.72,89.49,102.02
1160,86.69,89.54,102.09
1159,86.77,89.58,102.14
1158,86.81,89.58,102.17
1157,86.87,89.63,102.21
1156,86.89,89.71,102.3
1155,86.98,89.78,102.31
1154,86.95,89.79,102.37
1153,87.08,89.88,102.48
1152,87.14,89.91,102.47
1151,87.13,89.98,102.54
1150,87.16,90.04,102.61
1149,87.2,90.11,102.64
1148,87.29,90.18,102.7
1147,87.4,90.28,102.75
1146,87.43,90.32,102.82
1145,87.43,90.39,102.86
1144,87.41,90.36,102.85
1143,87.65,90.58,102.97
1142,87.63,90.57,103.05
1141,87.62,90.58,103.03
1140,87.68,90.67,103.08
